Domain,StateKey,InitialValue,Trigger,FromState,ToState,UIObservable,Notes
Auth,token,"'dummy'",AUTH_START,"any","loading:true (transient)","Spinner/disabled controls","Repo initial token is 'dummy' — app appears logged-in by default; tests should override to null to simulate logged-out"
Auth,token,null,AUTH_SUCCESS,"null","<token> (string)","Logged-in navigation items visible, authenticated-only actions enabled","AUTH_SUCCESS sets token, userId, email; loading:false"
Auth,error,null,AUTH_FAIL,"null|previous","error object/string","Show error message in auth UI","showError local state is set true when props.error present; auto-hide after 3s"
Auth,token,<value>,AUTH_LOGOUT,"<value>",null,"Logged-out view","AUTH_LOGOUT clears token, userId, email but does not clear cart or orders"
Cart,loading,false,FETCH_CART_START,false,true,"Spinner in Cart page","FETCH_CART_START also sets toCart:false"
Cart,products,[],FETCH_CART_SUCCESS,"[]","[product objects]","CartItemList shows products; empty-cart view hidden","totalPrice set from payload"
Cart,error,false,FETCH_CART_FAIL,false,true,"Error UI in Cart","ERROR state set if fetch fails"
Cart,products,[...],ADD_PRODUCT_TO_CART_START,"[...]",loading true,"Spinner/disabled add button","Start then on success payload updates products"
Cart,products,[...],ADD_PRODUCT_TO_CART_SUCCESS,"[...]",updated products list,"Cart list updated, total updated","Ensure quantities aggregate correctly if same product added twice"
Cart,products,[...],REMOVE_PRODUCT_FROM_CART_START,"[...]",loading true,"Spinner on remove","On success product removed and totalPrice recalculated"
Cart,totalPrice,0,REMOVE_PRODUCT_FROM_CART_SUCCESS,prev,total decreased,"Total price UI updates","Reducer computes removedProduct.price * quantity; test arithmetic edge cases"
Orders,loading,false,FETCH_ORDERS_START,false,true,"Spinner in Orders/OrderBoard",""
Orders,orders,[],FETCH_ORDERS_SUCCESS,"[]","[order objects]","Orders list populated or empty message","Be aware: code has a comparison `orders === []` in one place which is always false — test empty state rendering"
Shop,loading,false,FETCH_PRODUCTS_START,false,true,"Spinner in Shop",""
Shop,products,[],FETCH_PRODUCTS_SUCCESS,"[]","[page products]","Product list and pagination update","currentPage is set from action; lastPage initial = 3"
UI,Auth.isSignup,false,Auth switch button,false,true,"Confirm password field appears","Toggling controls.confirm.isNeeded and UI filters out confirm when false"
UI,Auth.showError,false,props.error from Redux,false,true,"Transient error message visible","Show for ~3s then hidden by setTimeout"
UI,Layout.showSideDrawer,false,DrawerToggle,false,true,"Side drawer visible + backdrop","Backdrop open set true by toggle; clicking backdrop closes both"
UI,Checkout.toOrders,false,successful POST /create-order,false,true,"Redirect to /orders","Local state triggers <Navigate> redirect"
UI,ProductDetail.productDetail,{},component mount fetch success,"{}","{product object}","Product title/price appear, Add to Cart button state changes based on token","GET /shop/:id fills local state"
CrossDomain,logout effects,NA,AUTH_LOGOUT,logged-in,logged-out,"Auth UI changes","Note: logout does not clear `cart` or `orders` reducers — verify expected behavior"
EdgeCase,orders-empty-bug,NA,FETCH_ORDERS_SUCCESS (empty),[],[],"Potentially wrong UI","Code uses `orders === []` somewhere — ensure empty rendering is tested"
EdgeCase,token-initial-dummy, 'dummy',app start,repo start, 'dummy',"App behaves as logged-in","Tests should explicitly set token=null when expecting logged-out start"
